"","Раздел","Категория Revit","Семейство","Версия","Описание изменения","Ответственный","Путь"
"13.07.2021","АР","Элементы узла","АСК_Эл. узла_Разметка дорожная","1.0.2","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Разметка дорожная\АСК_Эл. узла_Разметка дорожная (v1.0.2).rfa"
"13.07.2021","АР","Элементы узла","АСК_Эл. узла_Стоп линия","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Разметка дорожная\АСК_Эл. узла_Стоп линия (v1.0.1).rfa"
"13.07.2021","АР","Элементы узла","АСК_Эл. узла_Отлив_Форма 5.4","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Фасонные элементы\АСК_Эл. узла_Отлив_Форма 5.4 (v1.0.1).rfa"
"13.07.2021","АР","Элементы узла","АСК_Эл. узла_Фартук_Форма 9.1","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Фасонные элементы\АСК_Эл. узла_Фартук_Форма 9.1 (v1.0.1).rfa"
"14.07.2021","АР","Элементы узла","АСК_Эл. узла_Торцеобразователь_СП.ИЖБ.05","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\АСК_Эл. узла_Торцеобразователь_СП.ИЖБ.05 (v1.0.1).rfa"
"15.07.2021","АР","Элементы узла","АСК_Эл. узла_Проем_Прямоугольный","1.0.2","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\АСК_Эл. узла_Проем_Прямоугольный (v1.0.2).rfa"
"15.07.2021","АР","Элементы узла","АСК_Эл. узла_Путь эвакуации","1.0.2","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\АСК_Эл. узла_Путь эвакуации (v1.0.2).rfa"
"15.07.2021","АР","Элементы узла","АСК_Эл. узла_Шахта лифта","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\АСК_Эл. узла_Шахта лифта (v1.0.1).rfa"
"26.07.2021","АР","Элементы узла","АСК_Эл. узла_Отлив_Форма 4.1","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Фасонные элементы\АСК_Эл. узла_Отлив_Форма 4.1 (v1.0.1).rfa"
"26.07.2021","АР","Элементы узла","АСК_Эл. узла_Отлив_Форма 5.1","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Фасонные элементы\АСК_Эл. узла_Отлив_Форма 5.1 (v1.0.1).rfa"
