"","Раздел","Категория Revit","Семейство","Версия","Описание изменения","Ответственный","Путь"
"27.03.2023","АР","Окна","АСК_Окно_ПВХ_ОП_3х2_ГОСТ 30674-99","5.4.4","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Окна\ПВХ\ОП\АСК_Окно_ПВХ_ОП_3х2_ГОСТ 30674-99 (v5.4.4).rfa"
"27.03.2023","АР","Окна","АСК_Окно_ПВХ_ОП_3х3_ГОСТ 30674-99","5.4.3","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Окна\ПВХ\ОП\АСК_Окно_ПВХ_ОП_3х3_ГОСТ 30674-99 (v5.4.3).rfa"
"27.03.2023","АР","Окна","АСК_Окно_ПВХ_ОП_4х1_ГОСТ 30674-99","5.4.3","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Окна\ПВХ\ОП\АСК_Окно_ПВХ_ОП_4х1_ГОСТ 30674-99 (v5.4.3).rfa"
"27.03.2023","АР","Окна","АСК_Окно_ПВХ_ОП_4х2.1.1.2_ГОСТ 30674-99","5.4.3","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Окна\ПВХ\ОП\АСК_Окно_ПВХ_ОП_4х2.1.1.2_ГОСТ 30674-99 (v5.4.3).rfa"
"28.03.2023","ОВ","Арматура трубопроводов","АСК_Манометр_Общетехнический_Стандатный_Радиальный_РОСМА","1.0.3","Создано","Пятков Роман Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\06_ОВ\Арматура трубопроводов\03_Измерительные приборы\АСК_Манометр_Общетехнический_Стандатный_Радиальный_РОСМА (v1.0.3).rfa"
"28.03.2023","ОВ","Оборудование","АСК_Установка_ВЕРОСА-500_Приточная","1.0.3","Создано","Пятков Роман Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\06_ОВ\Установки\ВЕЗА\АСК_Установка_ВЕРОСА-500_Приточная (v1.0.3).rfa"
"28.03.2023","ТХ","Мебель","АСК_ИИ_Стойка_Приёмная_Вариант 9","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Мебель\Мебель индивидульного изготовления\АСК_ИИ_Стойка_Приёмная_Вариант 9 (v1.0.1).rfa"
"30.03.2023","АР","Каркас несущий","АСК_Нащельник_Форма 1.5","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Фасонные элементы (Каркас несущий)\АСК_Нащельник_Форма 1.5 (v1.0.1).rfa"
"30.03.2023","ОВ","Арматура трубопроводов","АСК_Манометр_Общетехнический_Кран_Бобышка_РОСМА","1.0.2","Создано","Пятков Роман Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\06_ОВ\Арматура трубопроводов\03_Измерительные приборы\АСК_Манометр_Общетехнический_Кран_Бобышка_РОСМА (v1.0.2).rfa"
"30.03.2023","ОВ","Арматура трубопроводов","АСК_Термометр_Общетехнический_Бобышка_РОСМА","1.0.3","Создано","Пятков Роман Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\06_ОВ\Арматура трубопроводов\03_Измерительные приборы\АСК_Термометр_Общетехнический_Бобышка_РОСМА (v1.0.3).rfa"
"30.03.2023","ОВ","Арматура трубопроводов","АСК_Термометр_Общетехнический_Радиальный_БТ_РОСМА","1.0.2","Создано","Пятков Роман Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\06_ОВ\Арматура трубопроводов\03_Измерительные приборы\АСК_Термометр_Общетехнический_Радиальный_БТ_РОСМА (v1.0.2).rfa"
"31.03.2023","АР","Окна","АСК_Проем_Витражный","5.4.7","Исправлено: связь параметра толщины пола четвертей с родительским семейством К опорной плоскости ""Толщина пола"" привязано заполнение зазоров","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Окна\Проемы\АСК_Проем_Витражный (v5.4.7).rfa"
"31.03.2023","ОВ","Арматура трубопроводов","АСК_Клапан_Балансировочный_Danfoss_AQT","1.0.5","Создано","Пятков Роман Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\06_ОВ\Арматура трубопроводов\02_Запорно-регулирующая арматура\АСК_Клапан_Балансировочный_Danfoss_AQT (v1.0.5).rfa"
"01.04.2023","АР","Окна","АСК_Проем_Витражный","5.4.8","Исправлено: расчетная площадь - ниша учитывалась, когда по факту отсутствовала","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Окна\Проемы\АСК_Проем_Витражный (v5.4.8).rfa"
"01.04.2023","АР","Окна","АСК_Проем_Витражный_Угловой","1.1.5","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Окна\Проемы\АСК_Проем_Витражный_Угловой (v1.1.5).rfa"
"01.04.2023","АР","Окна","АСК_Проем_Витражный_Экерный","1.1.3","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Окна\Проемы\АСК_Проем_Витражный_Экерный(v1.1.3).rfa"
"03.04.2023","АР","Каркас несущий","АСК_Нащельник-компенсатор_Форма 3.13","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Фасонные элементы (Каркас несущий)\АСК_Нащельник-компенсатор_Форма 3.13 (v1.0.1).rfa"
"03.04.2023","АР","Окна","_АСК_Откосы_ГКЛ","1.0.2","Добавлена возможность убирать верхний откос заданием параметру ""Откос сверху"" значения 0","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Окна\Откосы\_АСК_Откосы_ГКЛ (v1.0.2).rfa"
"04.04.2023","АР","Каркас несущий","АСК_Нащельник_Форма 2.4","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Фасонные элементы (Каркас несущий)\АСК_Нащельник_Форма 2.4 (v1.0.1).rfa"
"04.04.2023","АР","Каркас несущий","АСК_Нащельник_Форма 4.12","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Фасонные элементы (Каркас несущий)\АСК_Нащельник_Форма 4.12 (v1.0.1).rfa"
"04.04.2023","АР","Каркас несущий","АСК_Нащельник_Форма 5.9","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Фасонные элементы (Каркас несущий)\АСК_Нащельник_Форма 5.9 (v1.0.1).rfa"
"04.04.2023","ОВ","Обобщенные модели","АСК_Штраба_ЗД_Стена_Прямоуг","3.0.7","Создано","Пятков Роман Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\06_ОВ\Отверстия\АСК_Штраба_ЗД_Стена_Прямоуг (v3.0.7).rfa"
"04.04.2023","ОВ","Оборудование","АСК_Установка_Условная_Круглая","1.0.2","Создано","Пятков Роман Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\06_ОВ\Установки\Условная\АСК_Установка_Условная_Круглая (v1.0.2).rfa"
"04.04.2023","ОВ","Оборудование","АСК_Установка_Условная_Круглая","1.0.2","Создано","Пятков Роман Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\06_ОВ\Установки\Условная\АСК_Установка_Условная_Круглая (v1.0.2).rfa"
"04.04.2023","ОВ","Соединительные детали воздуховодов","АСК_Отвод с переходом_Оцинков_Прямоуг","1.0.7","Создано","Пятков Роман Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\06_ОВ\Соединительные детали воздуховодов\Отводы\АСК_Отвод с переходом_Оцинков_Прямоуг (v1.0.7).rfa"
"05.04.2023","ВК","Оборудование","АСК_Насос_Wilo_COR-2 MVI","1.0.3","Создано","Колпаков Семен Дмитриевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\05_ВК\Насосы\Насос_Wilo COR-2\АСК_Насос_Wilo_COR-2 MVI (v1.0.3).rfa"
"05.04.2023","ТХ","Мебель","АСК_Кресло_Подъемно-поворотное","2.0.2","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Мебель\АСК_Кресло_Подъемно-поворотное (v2.0.2).rfa"
"05.04.2023","ТХ","Мебель","АСК_Парта ученическая_Со стулом","1.2.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Мебель\АСК_Парта ученическая_Со стулом (v1.2.1).rfa"
"05.04.2023","ТХ","Мебель","АСК_Стол_Угловой","2.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Мебель\АСК_Стол_Угловой (v2.0.1).rfa"
"06.04.2023","АР","Несущие колонны","АСК_Вентканал_Отверстие","1.1.3","Создано","","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Вентканалы (Несущие колонны)\АСК_Вентканал_Отверстие (v1.1.3).rfa"
"06.04.2023","КЖ","Каркас несущий","АСК_Балка_Монолит_Прямоуг_Верх. полка","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\03_КЖ\Балки\АСК_Балка_Монолит_Прямоуг_Верх. полка (v1.0.1).rfa"
"06.04.2023","КЖ","Каркас несущий","АСК_Балка_Монолит_Прямоуг_Ниж. полка","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\03_КЖ\Балки\АСК_Балка_Монолит_Прямоуг_Ниж. полка (v1.0.1).rfa"
"06.04.2023","КЖ","Каркас несущий","АСК_Балка_Монолит_Прямоуг_Сред. полка","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\03_КЖ\Балки\АСК_Балка_Монолит_Прямоуг_Сред. полка (v1.0.1).rfa"
"06.04.2023","КЖ","Каркас несущий","АСК_Балка_Монолит_Прямоуг_Верх. и ниж. полки","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\03_КЖ\Балки\АСК_Балка_Монолит_Прямоуг_Верх. и ниж. полки (v1.0.1).rfa"
"06.04.2023","ТХ","Мебель","АСК_Доска с экраном","1.0.1","Создано","Попов Антон Михайлович","-"
"07.04.2023","ЭЛ","Электрические приборы","АСК_Кабельная трасса","1.0.1","Создано","Васьков Денис Игоревич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\07_ЭЛ\Кабельные изделия\_Архив\АСК_Кабельная трасса (v1.0.1).rfa"
"07.04.2023","ЭЛ","Электрические приборы","АСК_Кабельная трасса_Вертикаль","1.0.1","Создано","Васьков Денис Игоревич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\07_ЭЛ\Кабельные изделия\_Архив\АСК_Кабельная трасса_Вертикаль (v1.0.1).rfa"
"08.04.2023","ОВ","Воздухораспределители","АСК_Сетка в рамке_ВПРС_Вытяжн","1.0.3","Создано","Пятков Роман Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\06_ОВ\Воздухораспределители\Сетки\АСК_Сетка в рамке_ВПРС_Вытяжн (v1.0.3).rfa"
"08.04.2023","ОВ","Оборудование","АСК_Вентилятор_Канальный_Прямоугольный_Канал-КВАРК-ПН_ВЕЗА","1.1.3","Создано","Пятков Роман Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\06_ОВ\Вентиляторы\ВЕЗА\Канальные\АСК_Вентилятор_Канальный_Прямоугольный_Канал-КВАРК-ПН_ВЕЗА (v1.1.3).rfa"
"10.04.2023","КЖ","Форма арматурного стержня","1.4","1.0.1","Создано","Попов Антон Михайлович","-"
"11.04.2023","АР","Окна","_АСК_Элемент окна","","Добавлены общие параметры: _Угол и _Радиус","Попов Антон Михайлович","-"
"11.04.2023","ВК","Оборудование","АСК_Эксгаустер с электроприводом_Спецавтоматика","1.1.1","Создано","Колпаков Семен Дмитриевич","-"
"11.04.2023","ВК","Оборудование","АСК_Эксгаустер с электроприводом_Спецавтоматика","1.1.2","точка вставки семейства выставлена по точке подключения коннектора","Колпаков Семен Дмитриевич","-"
"11.04.2023","ВК","Оборудование","АСК_Ороситель_Горизонтальный_Спецавтоматика","1.0.2","Создано","Колпаков Семен Дмитриевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\05_ВК\Спринклеры\АСК_Ороситель_Горизонтальный_Спецавтоматика (v1.0.2).rfa"
"11.04.2023","ВК","Оборудование","АСК_Ороситель_Спринклерный_Спецавтоматика","1.0.5","Создано","Колпаков Семен Дмитриевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\05_ВК\Спринклеры\АСК_Ороситель_Спринклерный_Спецавтоматика (v1.0.5).rfa"
"11.04.2023","ОВ","Оборудование","АСК_Блок кондиционера_Внутренний_Канальный_MDV_3D DC-Inverter","1.0.1","Создано","Красильников Дмитрий Сергеевич","-"
"11.04.2023","ОВ","Оборудование","АСК_Блок кондиционера_Внутренний_Канальный_MDV_On-Off","1.0.1","Создано","Красильников Дмитрий Сергеевич","-"
"11.04.2023","ОВ","Оборудование","АСК_Блок кондиционера_Внутренний_Кассетный_MDV_On-Off","1.0.1","Создано","Красильников Дмитрий Сергеевич","-"
"11.04.2023","ОВ","Оборудование","АСК_Блок кондиционера_Внутренний_Напольно-потолочный_MDV_3D DC-Inverter","1.0.1","Создано","Красильников Дмитрий Сергеевич","-"
"11.04.2023","ОВ","Оборудование","АСК_Установка_Канальная_Прямоугольная_Приточная_ВЕЗА","1.1.3","Создано","Пятков Роман Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\06_ОВ\Установки\ВЕЗА\АСК_Установка_Канальная_Прямоугольная_Приточная_ВЕЗА (v1.1.3).rfa"
"11.04.2023","ЭЛ","Осветительные приборы","АСК_Светильник_Потолочный_Пр_Glerio_Line ","1.0.1","Создано. Для ЛЛУ","Васьков Денис Игоревич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\07_ЭЛ\Осветительные приборы\Glerio\Line\_Архив\АСК_Светильник_Потолочный_Пр_Glerio_Line (v1.0.1).rfa"
"12.04.2023","ОВ","Воздухораспределители","АСК_Решетка декоративная_РЕД-РКДМ-ОР_Вытяжная_РЭДВЕНТ","1.0.1","Создано","Пятков Роман Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\06_ОВ\Воздухораспределители\_РЭДВЕНТ\АСК_Решетка декоративная_РЕД-РКДМ-ОР_Вытяжная_РЭДВЕНТ (v1.0.1).rfa"
"12.04.2023","ОВ","Воздухораспределители","АСК_Решетка декоративная_РЕД-РКДМ-ОР_Приточная_РЭДВЕНТ","1.0.1","Создано","Пятков Роман Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\06_ОВ\Воздухораспределители\_РЭДВЕНТ\АСК_Решетка декоративная_РЕД-РКДМ-ОР_Приточная_РЭДВЕНТ (v1.0.1).rfa"
"12.04.2023","ОВ","Оборудование","АСК_Блок кондиционера_Внутренний_Напольно-потолочный_MDV_On-Off","1.0.1","Создано","Красильников Дмитрий Сергеевич","-"
"12.04.2023","ОВ","Оборудование","АСК_Блок кондиционера_Внутренний_Настенный_MDV_INFINI Inverter","1.0.1","Создано","Красильников Дмитрий Сергеевич","-"
"12.04.2023","ОВ","Оборудование","АСК_Блок кондиционера_Наружный_MDV_3D DC-Inverter","1.0.1","Создано","Красильников Дмитрий Сергеевич","-"
"12.04.2023","ОВ","Оборудование","АСК_Блок кондиционера_Наружный_MDV_INFINI Inverter","1.0.1","Создано","Красильников Дмитрий Сергеевич","-"
"12.04.2023","ОВ","Оборудование","АСК_Блок кондиционера_Наружный_MDV_On-Off","1.0.1","Создано","Красильников Дмитрий Сергеевич","-"
"12.04.2023","ОВ","Оборудование","АСК_Клапан_Противопожарный_Круглый_КП-1_Поток","1.0.1","Создано","Пятков Роман Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\06_ОВ\Клапаны противопожарные\Поток\Клапан противопожарный КП-1\АСК_Клапан_Противопожарный_Круглый_КП-1_Поток (v1.0.1).rfa"
"12.04.2023","ТХ","Оборудование","АСК_Доска с экраном","1.1.1","Добавлено вложенное общее семейство экрана","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Доска с экраном (v1.1.1).rfa"
"12.04.2023","ТХ","Оборудование","АСК_Стол_Предмоечный","1.0.2","Исправлено: изменение длины столешницы","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Стол_Предмоечный (v1.0.2).rfa"
"12.04.2023","ТХ","Оборудование","АСК_Хлеборезка_HURAKAN","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Хлеборезка_HURAKAN (v1.0.1).rfa"
"12.04.2023","ТХ","Оборудование","АСК_Прилавок_Тип 5","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Прилавок_Тип 5 (v1.0.1).rfa"
"13.04.2023","АР","Окна","_АСК_Элемент окна","","Добавлен параметр ""Начальный угол"" для радиальных отливов","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_3_Разработка семейств\01_В работе\Окна\ПВХ\ОП\_Вложенные\_АСК_Элемент окна.rfa"
"13.04.2023","АР","Окна","_АСК_Маскировка проема","1.0.3","Добавлено раздельное отключение левой и правой границ контура","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_3_Разработка семейств\01_В работе\Окна\ПВХ\ОП\_Вложенные\_АСК_Маскировка проема (v1.0.3).rfa"
"13.04.2023","АР","Окна","АСК_Проем_Витражный","5.5.8","Обновлено _АСК_Маскировка проема Добавлено раздельное отключение левой и правой границ контура","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Окна\Проемы\АСК_Проем_Витражный (v5.5.8).rfa"
"13.04.2023","ОВ","Оборудование","АСК_Блок кондиционера_Внутренний_Настенный_MDV_INFINI Inverter","1.0.2","Изменено положение коннекторов","Красильников Дмитрий Сергеевич","""P:\03_БИБЛИОТЕКА\Revit_6_Семейства\06_ОВ\Кондиционирование\АСК_Блок кондиционера_Внутренний_Настенный_MDV_INFINI Inverter (v1.0.2).rfa"""
"13.04.2023","ОВ","Оборудование","АСК_Блок кондиционера_Внутренний_Канальный_MDV_On-Off","1.0.2","Изменено положение коннекторов","Красильников Дмитрий Сергеевич","""P:\03_БИБЛИОТЕКА\Revit_6_Семейства\06_ОВ\Кондиционирование\АСК_Блок кондиционера_Внутренний_Канальный_MDV_On-Off (v1.0.2).rfa"""
"13.04.2023","ОВ","Оборудование","АСК_Блок кондиционера_Внутренний_Канальный_MDV_3D DC-Inverter","1.0.2","Изменено положение коннекторов","Красильников Дмитрий Сергеевич","""P:\03_БИБЛИОТЕКА\Revit_6_Семейства\06_ОВ\Кондиционирование\АСК_Блок кондиционера_Внутренний_Канальный_MDV_3D DC-Inverter (v1.0.2).rfa"""
"13.04.2023","ОВ","Оборудование","АСК_Блок кондиционера_Внутренний_Настенный_MDV_INFINI Inverter","1.0.2","Создано","Пятков Роман Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\06_ОВ\Кондиционирование\АСК_Блок кондиционера_Внутренний_Настенный_MDV_INFINI Inverter (v1.0.2).rfa"
"14.04.2023","АР","Окна","_АСК_Откосы_ГКЛ_Угловые ","1.0.2","Изменено имя парамтра ""Угол 1""","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Окна\Откосы\_АСК_Откосы_ГКЛ_Угловые (v1.0.2).rfa"
"14.04.2023","АР","Окна","_АСК_Откосы_ПВХ_Угловые","1.0.3","Изменено имя парамтра ""Угол 1""","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Окна\Откосы\_АСК_Откосы_ПВХ_Угловые (v1.0.3).rfa"
"14.04.2023","АР","Окна","_АСК_Отлив_Стальной_Угловой","2.0.4","Изменено имя парамтра ""Угол 1""","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Окна\Отливы_Подоконники\_АСК_Отлив_Стальной_Угловой (v2.0.4).rfa"
"14.04.2023","АР","Окна","_АСК_Подоконник_ПВХ_Угловой","2.0.4","Изменено имя парамтра ""Угол 1""","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Окна\Отливы_Подоконники\_АСК_Подоконник_ПВХ_Угловой (v2.0.4).rfa"
"14.04.2023","АР","Окна","АСК_Проем_Витражный_Угловой","1.1.6","Исправлена связь параметров со вложенными семействами","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Окна\Проемы\АСК_Проем_Витражный_Угловой (v1.1.6).rfa"
"14.04.2023","АР","Окна","_АСК_Маскировка проема угловая","1.0.2","Добавлено раздельное отключение левой и правой границ контура","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_3_Разработка семейств\01_В работе\Окна\Проемы\_Вложенные\_АСК_Маскировка проема угловая (v1.0.2).rfa"
"14.04.2023","АР","Окна","АСК_Проем_Витражный_Угловой","1.2.6","Обновлены вложенные семейства маскировок","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Окна\Проемы\АСК_Проем_Витражный_Угловой (v1.2.6).rfa"
"14.04.2023","ВК","Арматура трубопроводов","АСК_Клапан_Соленоидный_Росма_СК","2.0.1","Создано","Колпаков Семен Дмитриевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\05_ВК\Арматура трубопроводов\Клапан_Соленоидный_Росма_СК\АСК_Клапан_Соленоидный_Росма_СК (v2.0.1).rfa"
"14.04.2023","ВК","Арматура трубопроводов","АСК_Клапан_Соленоидный_Росма_СК","1.0.1","Создано","Колпаков Семен Дмитриевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\05_ВК\Пожаротушение\Клапан_Соленоидный_Росма_СК\АСК_Клапан_Соленоидный_Росма_СК (v1.0.1).rfa"
"14.04.2023","КМ","Обобщенные модели","АСК_Прокат_Уголок неравнопол_ГОСТ 8510-86","1.0.2","Добавлена возможность подрезать края под заданным углом","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\04_КМ\Металлопрокат\Уголки\АСК_Прокат_Уголок неравнопол_ГОСТ 8510-86 (v1.0.2).rfa"
"14.04.2023","ОВ","Оборудование","АСК_Блок кондиционера_Внутренний_Кассетный_MDV_On-Off","1.0.2","Изменено положение коннекторов","Красильников Дмитрий Сергеевич","""P:\03_БИБЛИОТЕКА\Revit_6_Семейства\06_ОВ\Кондиционирование\АСК_Блок кондиционера_Внутренний_Кассетный_MDV_On-Off (v1.0.2).rfa"""
"14.04.2023","ОВ","Оборудование","АСК_Блок кондиционера_Внутренний_Для кухни_Mitsubishi_PCA-M71HA2","2.0.2","Исправлены зоны обслуживания, удалены лишние параметры, почищено от мусора","Красильников Дмитрий Сергеевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\06_ОВ\Кондиционирование\АСК_Блок кондиционера_Внутренний_Для кухни_Mitsubishi_PCA-M71HA2 (v2.0.2).rfa"
"14.04.2023","ТХ","Мебель","АСК_Стол_Рабочий_Сплошные ножки_Тумбочка","1.0.2","Отредактрована опорная плоскость маскировки столешницы","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Мебель\АСК_Стол_Рабочий_Сплошные ножки_Тумбочка (v1.0.2).rfa"
"14.04.2023","ТХ","Мебель","АСК_Стул_Обеденный_Тип 4","1.0.4","Отредактировано условные обозначение","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Мебель\АСК_Стул_Обеденный_Тип 4 (v1.0.2).rfa"
"14.04.2023","ТХ","Оборудование","АСК_Плита_6 конфорок и духовой шкаф","1.0.1","Создано","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Плита_6 конфорок и духовой шкаф (v1.0.1).rfa"
"14.04.2023","ТХ","Оборудование","АСК_Компьютер офисный_Комплект","1.0.2","Тип подсчёта количества изменён на 5 (комплект)","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Компьютер офисный_Комплект (v1.0.2).rfa"
"14.04.2023","ТХ","Оборудование","АСК_Весы_Напольные","1.0.2","Отредактировано условные обозначение","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Весы_Напольные (v1.0.2).rfa"
"14.04.2023","ТХ","Оборудование","АСК_Стол_Производственный","1.0.2","Отредактировано условные обозначение","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Стол_Производственный (v1.0.2).rfa"
"14.04.2023","ТХ","Оборудование","АСК_Холодильник_Бытовой","1.0.2","Добавлено условное обозначение перекрестием в плане в подкатегории ""Обозначение холодильника""","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Холодильник_Бытовой (v1.0.2).rfa"
"14.04.2023","ТХ","Оборудование","АСК_Холодильный шкаф_Тип 2","1.0.2","Добавлено условное обозначение перекрестием в плане в подкатегории ""Обозначение холодильника""","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Холодильный шкаф_Тип 2 (v1.0.2).rfa"
"14.04.2023","ТХ","Оборудование","АСК_Холодильник_Однодверный","1.0.2","Добавлено условное обозначение перекрестием в плане в подкатегории ""Обозначение холодильника""","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Холодильник_Однодверный (v1.0.2).rfa"
"14.04.2023","ТХ","Оборудование","АСК_Холодильный шкаф_Тип 1","1.0.2","Добавлено условное обозначение перекрестием в плане в подкатегории ""Обозначение холодильника""","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\08_ТХ\Оборудование\АСК_Холодильный шкаф_Тип 1 (v1.0.2).rfa"
"16.04.2023","ОВ","Оборудование","АСК_Вентилятор_Крышный_Радиальный_КРОМ_ВЕЗА","1.1.4","Создано","Пятков Роман Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\06_ОВ\Вентиляторы\ВЕЗА\Крышные\АСК_Вентилятор_Крышный_Радиальный_КРОМ_ВЕЗА (v1.1.4).rfa"
"17.04.2023","АР","Окна","_АСК_Подоконник_ПВХ_Угловой","2.0.5","Исправлена привязка размеров плеч","Попов Антон Михайлович","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Окна\Отливы_Подоконники\_АСК_Подоконник_ПВХ_Угловой (v2.0.5).rfa"
"17.04.2023","ВК","Аннотации","АСК_Марка_Трубы_Стояк","2.0.3","Создано","Колпаков Семен Дмитриевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\05_ВК\Аннотации\Трубы\АСК_Марка_Трубы_Стояк (v2.0.3).rfa"
